key,value
"Anti-Black or African American",1972
"Anti-Jewish",963
"Anti-Gay (Male)",745
"Anti-White",643
"Anti-Hispanic or Latino",539
"Anti-Other Race/Ethnicity/Ancestry",298
"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",295
"Multiple Bias",206
"Anti-Islamic (Muslim)",180
"Anti-Asian",161
"Anti-Transgender",152
"Anti-Multiple Races, Group",131
"Anti-Lesbian (Female)",108
"Anti-Mental Disability",98
"Anti-American Indian or Alaska Native",94
"Anti-Arab",93
"Anti-Other Religion",86
"Anti-Catholic",64
"Anti-Sikh",54
"Anti-Female",53
"Anti-Eastern Orthodox (Russian, Greek, Other)",50
"Anti-Other Christian",49
"Anti-Physical Disability",46
"Anti-Multiple Religions, Group",37
"Anti-Gender Non-Conforming",37
"Anti-Bisexual",27
"Anti-Native Hawaiian or Other Pacific Islander",23
"Anti-Protestant",21
"Anti-Heterosexual",16
"Anti-Male",14
"Anti-Mormon",11
"Anti-Atheism/Agnosticism",6
"Anti-Jehovahs Witness",6
"Anti-Hindu",5
"Anti-Buddhist",4
