key,value
"Anti-Black or African American",1647
"Anti-Jewish",613
"Anti-Gay (Male)",612
"Anti-White",610
"Anti-Other Race/Ethnicity/Ancestry",346
"Anti-Hispanic or Latino",306
"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",246
"Anti-Islamic (Muslim)",156
"Anti-Asian",139
"Anti-American Indian or Alaska Native",137
"Anti-Lesbian (Female)",131
"Anti-Other Religion",109
"Anti-Multiple Races, Group",84
"Anti-Catholic",70
"Anti-Mental Disability",69
"Anti-Transgender",60
"Anti-Multiple Religions, Group",46
"Anti-Gender Non-Conforming",41
"Anti-Bisexual",34
"Anti-Protestant",27
"Anti-Physical Disability",26
"Anti-Female",24
"Anti-Heterosexual",19
"Multiple Bias",17
"Anti-Atheism/Agnosticism",10
"Anti-Male",10
"Anti-Arab",7
"Anti-Native Hawaiian or Other Pacific Islander",3
"Anti-Mormon",0
"Anti-Other Christian",0
"Anti-Buddhist",0
"Anti-Sikh",0
"Anti-Jehovahs Witness",0
"Anti-Hindu",0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0
