key,value
"Anti-Black or African American",2059
"Anti-Jewish",956
"Anti-White",708
"Anti-Gay (Male)",676
"Anti-Hispanic or Latino",435
"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",283
"Anti-Other Race/Ethnicity/Ancestry",280
"Anti-Islamic (Muslim)",277
"Anti-American Indian or Alaska Native",243
"Anti-Multiple Races, Group",186
"Anti-Lesbian (Female)",129
"Anti-Asian",128
"Anti-Transgender",107
"Anti-Arab",104
"Anti-Mental Disability",86
"Multiple Bias",85
"Anti-Other Religion",84
"Anti-Catholic",70
"Anti-Physical Disability",66
"Anti-Female",52
"Anti-Multiple Religions, Group",50
"Anti-Protestant",40
"Anti-Heterosexual",31
"Anti-Other Christian",25
"Anti-Bisexual",24
"Anti-Male",23
"Anti-Eastern Orthodox (Russian, Greek, Other)",19
"Anti-Sikh",18
"Anti-Buddhist",15
"Anti-Native Hawaiian or Other Pacific Islander",14
"Anti-Gender Non-Conforming",14
"Anti-Mormon",11
"Anti-Hindu",10
"Anti-Jehovahs Witness",7
"Anti-Atheism/Agnosticism",6
