key,value
"Anti-Black or African American",1756
"Anti-Gay (Male)",674
"Anti-Jewish",668
"Anti-White",614
"Anti-Hispanic or Latino",301
"Anti-Islamic (Muslim)",260
"Anti-Other Race/Ethnicity/Ancestry",258
"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",204
"Anti-Lesbian (Female)",138
"Anti-American Indian or Alaska Native",131
"Anti-Asian",114
"Anti-Multiple Races, Group",113
"Anti-Other Religion",96
"Anti-Transgender",73
"Anti-Catholic",53
"Anti-Multiple Religions, Group",51
"Anti-Eastern Orthodox (Russian, Greek, Other)",49
"Anti-Physical Disability",45
"Anti-Gender Non-Conforming",41
"Anti-Arab",39
"Anti-Protestant",37
"Anti-Mental Disability",31
"Anti-Bisexual",31
"Anti-Heterosexual",19
"Anti-Female",17
"Anti-Other Christian",15
"Multiple Bias",9
"Anti-Mormon",8
"Anti-Male",7
"Anti-Sikh",6
"Anti-Hindu",5
"Anti-Native Hawaiian or Other Pacific Islander",4
"Anti-Atheism/Agnosticism",2
"Anti-Buddhist",1
"Anti-Jehovahs Witness",1
