key,value
"Anti-Black or African American",2099
"Anti-Jewish",769
"Anti-Gay (Male)",763
"Anti-White",527
"Anti-Hispanic or Latino",405
"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",364
"Anti-Other Race/Ethnicity/Ancestry",318
"Anti-Islamic (Muslim)",162
"Anti-Lesbian (Female)",138
"Anti-Asian",137
"Anti-Multiple Races, Group",136
"Anti-Other Religion",130
"Anti-Catholic",73
"Anti-American Indian or Alaska Native",63
"Anti-Multiple Religions, Group",53
"Anti-Protestant",44
"Anti-Mental Disability",42
"Anti-Bisexual",24
"Anti-Physical Disability",22
"Anti-Heterosexual",17
"Multiple Bias",9
"Anti-Atheism/Agnosticism",4
"Anti-Mormon",0
"Anti-Other Christian",0
"Anti-Male",0
"Anti-Buddhist",0
"Anti-Sikh",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Arab",0
"Anti-Transgender",0
"Anti-Jehovahs Witness",0
"Anti-Hindu",0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0
"Anti-Gender Non-Conforming",0
"Anti-Female",0
