key,value
"Anti-Black or African American",2059
"Anti-Jewish",869
"Anti-Gay (Male)",725
"Anti-White",683
"Anti-Hispanic or Latino",429
"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",337
"Anti-Other Race/Ethnicity/Ancestry",312
"Anti-Lesbian (Female)",171
"Anti-Islamic (Muslim)",148
"Anti-Asian",143
"Anti-Multiple Races, Group",122
"Anti-American Indian or Alaska Native",105
"Anti-Other Religion",100
"Anti-Mental Disability",89
"Anti-Multiple Religions, Group",75
"Anti-Catholic",75
"Anti-Bisexual",38
"Anti-Protestant",38
"Anti-Heterosexual",26
"Anti-Physical Disability",21
"Anti-Atheism/Agnosticism",13
"Multiple Bias",7
"Anti-Gender Non-Conforming",4
"Anti-Female",2
"Anti-Mormon",0
"Anti-Other Christian",0
"Anti-Male",0
"Anti-Buddhist",0
"Anti-Sikh",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Arab",0
"Anti-Transgender",0
"Anti-Jehovahs Witness",0
"Anti-Hindu",0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0
