key,value
"Anti-Black or African American",1942
"Anti-Jewish",847
"Anti-White",742
"Anti-Gay (Male)",741
"Anti-Hispanic or Latino",492
"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",305
"Anti-Other Race/Ethnicity/Ancestry",269
"Anti-Islamic (Muslim)",191
"Anti-American Indian or Alaska Native",183
"Anti-Asian",149
"Anti-Transgender",143
"Anti-Multiple Races, Group",134
"Anti-Lesbian (Female)",130
"Anti-Mental Disability",99
"Anti-Other Religion",94
"Anti-Arab",80
"Multiple Bias",75
"Anti-Physical Disability",60
"Anti-Catholic",51
"Anti-Multiple Religions, Group",44
"Anti-Sikh",40
"Anti-Female",39
"Anti-Other Christian",37
"Anti-Protestant",34
"Anti-Eastern Orthodox (Russian, Greek, Other)",32
"Anti-Gender Non-Conforming",24
"Anti-Male",22
"Anti-Heterosexual",20
"Anti-Bisexual",20
"Anti-Hindu",12
"Anti-Native Hawaiian or Other Pacific Islander",11
"Anti-Jehovahs Witness",9
"Anti-Mormon",8
"Anti-Buddhist",8
"Anti-Atheism/Agnosticism",4
