key,value
"Anti-Black or African American",2202
"Anti-Jewish",887
"Anti-Gay (Male)",740
"Anti-White",576
"Anti-Hispanic or Latino",534
"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",347
"Anti-Other Race/Ethnicity/Ancestry",313
"Anti-Multiple Races, Group",165
"Anti-Islamic (Muslim)",160
"Anti-Asian",150
"Anti-Lesbian (Female)",145
"Anti-Other Religion",123
"Anti-Catholic",58
"Anti-Multiple Religions, Group",48
"Anti-American Indian or Alaska Native",44
"Anti-Protestant",41
"Anti-Bisexual",26
"Anti-Mental Disability",25
"Anti-Heterosexual",21
"Anti-Physical Disability",19
"Anti-Atheism/Agnosticism",5
"Multiple Bias",4
"Anti-Mormon",0
"Anti-Other Christian",0
"Anti-Male",0
"Anti-Buddhist",0
"Anti-Sikh",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Arab",0
"Anti-Transgender",0
"Anti-Jehovahs Witness",0
"Anti-Hindu",0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0
"Anti-Gender Non-Conforming",0
"Anti-Female",0
