key,value
"Anti-Black or African American",1908
"Anti-Gay (Male)",759
"Anti-White",670
"Anti-Jewish",630
"Anti-Hispanic or Latino",341
"Anti-Other Race/Ethnicity/Ancestry",337
"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",293
"Anti-Lesbian (Female)",165
"Anti-Islamic (Muslim)",138
"Anti-Asian",134
"Anti-Other Religion",122
"Anti-Multiple Races, Group",96
"Anti-American Indian or Alaska Native",93
"Anti-Catholic",70
"Anti-Mental Disability",69
"Anti-Multiple Religions, Group",43
"Anti-Protestant",38
"Anti-Bisexual",26
"Anti-Physical Disability",24
"Anti-Transgender",23
"Anti-Heterosexual",21
"Anti-Female",13
"Anti-Gender Non-Conforming",8
"Anti-Atheism/Agnosticism",7
"Anti-Male",7
"Multiple Bias",6
"Anti-Native Hawaiian or Other Pacific Islander",3
"Anti-Mormon",0
"Anti-Other Christian",0
"Anti-Buddhist",0
"Anti-Sikh",0
"Anti-Arab",0
"Anti-Jehovahs Witness",0
"Anti-Hindu",0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0
